tagID,number
24,696
73,578
79,382
39,366
130,364
78,290
18,253
81,226
192,191
25,177
195,176
352,140
387,127
84,115
109,107
167,105
238,105
508,103
389,100
209,95
285,83
234,82
213,79
127,79
170,71
72,70
49,69
16,68
210,65
206,63
216,59
625,53
1,52
247,52
364,51
74,50
169,49
346,48
231,48
730,48
88,48
134,46
91,46
386,46
228,45
185,44
208,43
229,43
75,42
199,41
636,39
735,39
839,38
850,34
181,33
200,32
354,31
121,31
306,31
824,30
184,29
33,28
662,28
17,27
13,25
481,25
799,24
526,24
1911,24
658,24
203,23
191,23
176,22
483,22
689,22
182,22
102,22
56,22
512,21
358,20
611,19
187,19
85,19
230,18
664,18
724,18
527,17
1447,17
370,16
639,16
1613,16
793,16
514,16
642,15
797,15
296,15
511,15
2007,14
1727,14
831,14
232,14
640,14
201,14
632,14
500,13
26,13
1097,13
2938,13
447,12
706,12
509,12
14,11
80,11
781,11
657,11
1212,10
3375,10
2010,10
309,10
719,10
215,10
1237,10
1735,10
128,9
695,9
1445,9
641,9
401,9
275,9
233,9
1492,9
1495,9
202,9
1086,9
287,9
670,9
83,9
105,8
8301,8
665,8
2691,8
3605,8
3834,8
503,8
2349,8
349,8
19,8
2469,8
124,8
292,8
424,7
2099,7
1209,7
2887,7
836,7
667,7
4356,7
955,7
2805,7
357,7
108,7
304,7
9763,7
1434,7
1753,7
1311,7
2009,7
2244,7
207,7
2726,7
1319,7
46,7
12022,7
4530,6
12021,6
570,6
1032,6
3397,6
12029,6
1886,6
2868,6
2461,6
1671,6
1354,6
698,6
388,6
395,6
2463,6
2785,6
774,6
766,6
767,6
833,6
835,6
1642,6
9727,6
3123,6
2115,6
780,5
3790,5
792,5
737,5
842,5
713,5
8307,5
801,5
3883,5
844,5
8302,5
1882,5
825,5
826,5
846,5
4283,5
3869,5
8304,5
9745,5
7937,5
2934,5
6103,5
98,5
319,5
1489,5
2520,5
1249,5
3775,5
10695,5
2734,5
347,5
1352,5
6104,5
2700,5
1355,5
103,5
4897,5
1124,5
3173,5
505,5
9764,5
1797,5
513,5
4523,5
61,5
789,4
10230,4
2336,4
2380,4
9765,4
2416,4
1538,4
1368,4
2548,4
1951,4
2430,4
771,4
10585,4
3882,4
9945,4
1869,4
989,4
8518,4
8716,4
3213,4
3210,4
8516,4
3187,4
838,4
814,4
1186,4
10692,4
1223,4
9416,4
1238,4
829,4
1348,4
1754,4
773,4
1956,4
405,4
4970,4
4289,4
4300,4
242,4
4301,4
671,4
308,4
311,4
4354,4
661,4
6934,4
204,4
617,4
768,4
408,4
583,4
410,4
426,4
7078,4
507,4
554,4
8052,4
11956,4
87,4
47,4
6049,4
762,4
90,4
727,4
8312,4
2866,3
402,3
1297,3
1654,3
7000,3
4955,3
1313,3
6976,3
2014,3
1330,3
1295,3
1294,3
69,3
3162,3
1087,3
1955,3
1952,3
3181,3
499,3
4532,3
6021,3
32,3
5885,3
3012,3
4922,3
4927,3
1912,3
5818,3
6900,3
1771,3
362,3
2720,3
1652,3
159,3
2224,3
2226,3
1645,3
1644,3
5518,3
1655,3
205,3
1593,3
5316,3
1588,3
2377,3
2398,3
1550,3
1659,3
1660,3
2208,3
524,3
297,3
1673,3
2495,3
1490,3
5294,3
10559,3
2707,3
1653,3
251,3
772,3
841,3
3999,3
3955,3
7797,3
8826,3
7800,3
3568,3
3572,3
8453,3
628,3
4411,3
7938,3
3796,3
3829,3
8498,3
8306,3
810,3
8303,3
700,3
696,3
686,3
8503,3
8242,3
673,3
832,3
575,3
795,3
786,3
3216,3
3323,3
1076,3
778,3
776,3
3255,3
3215,3
2075,2
1970,2
2229,2
2228,2
8314,2
1972,2
3893,2
2222,2
8499,2
6036,2
8497,2
5535,2
4157,2
6445,2
6450,2
2221,2
4165,2
2288,2
4070,2
2333,2
3871,2
2346,2
5303,2
2352,2
8315,2
5302,2
4141,2
8308,2
1990,2
9817,2
2098,2
1964,2
3970,2
9972,2
4081,2
9973,2
6105,2
2139,2
6128,2
6170,2
9823,2
9974,2
2153,2
4013,2
6044,2
2204,2
8200,2
6040,2
6171,2
8392,2
6038,2
9767,2
9766,2
6172,2
5620,2
6037,2
3917,2
4044,2
9670,2
7729,2
2411,2
3038,2
9005,2
9358,2
8951,2
3359,2
7014,2
3365,2
9419,2
4929,2
3008,2
3004,2
2998,2
3378,2
4952,2
8738,2
8621,2
7015,2
4916,2
2806,2
3067,2
3185,2
3212,2
3183,2
3182,2
3180,2
